state,Median Household Income,Regional Price Parity out of 100,Real Income
AL,44765,86.8,51573
AK,73355,105.6,69465
AZ,51492,96.2,53526
AR,41995,87.4,48049
CA,64500,113.4,56878
CO,63909,103.2,61927
CT,71346,108.7,65636
DE,61255,100.4,61011
FL,49426,99.5,49674
GA,51244,92.6,55339
HI,73486,118.8,61857
ID,48275,93.4,51686
IL,59588,99.7,59767
IN,50532,90.7,55713
IA,54736,90.3,60616
KS,53906,90.4,59631
KY,45215,88.6,51033
LA,45727,90.6,50471
ME,51494,98,52545
MD,75847,109.6,69203
MA,45727,106.9,42775
MI,51084,93.5,54635
MN,63488,97.4,65183
MS,40593,86.2,47092
MO,50238,89.3,56258
MT,49509,94.8,52225
NE,54996,90.6,60702
NV,52431,98,53501
NH,70303,105,66955
NJ,72222,113.4,63688
NM,45382,94.4,48074
NY,60850,115.3,52775
NC,47830,91.2,52445
ND,60557,92.3,65609
OH,51075,89.2,57259
OK,48568,89.9,54024
OR,65609,99.2,66138
PA,55702,97.9,56897
RI,58073,98.7,58838
SC,47238,90.3,52312
SD,53017,88.2,60110
TN,47275,89.9,52586
TX,55653,96.8,57493
UT,62912,97,64858
VT,56990,101.6,56093
VA,66262,102.5,64646
WA,64129,104.8,61192
WV,42019,88.9,47265
WI,55638,93.1,59762
WY,60214,96.2,62593
DC,67106,104.8,64032
PR,20078,80,25097
GU,52340,95,55094
AE,23434,95,24667
VI,24704,95,26004
AP,23676,95,24922